cost_line_id,programme_id,programme_name,pillar,lead_ministry,cost_category,price_base_year,scenario,years_1_2,years_3_4,years_5_6,six_year_total,existing_funding,reallocated_funding,new_funding,cost_method,assumption_ids,confidence,cost_source_id,funding_split_basis,reach_count,reach_unit,overlap_group,phases_active,notes
CL-038,PRG-13,Public Service Application Pipeline Programme,P4 Institutional Participation,Public Service Department (JPA),operating_expenditure,2026,central,7.000,7.000,7.000,21.000,7.350,2.100,11.550,Outreach and preparation model: campaigns + preparation programmes + annual data publication,ASM-C13,Provisional,,"existing 0.35 = JPA and SPA recruitment administration already funded; reallocated 0.10 = MITRA human-capital grants; new 0.55 = outreach campaigns, preparation programmes and publication. ASSUMPTION (VAL-21).",24000,candidate,individual,1-2-3,"RM350 per candidate through preparation programmes for approximately 8,000 candidates per phase = RM2.800m, plus RM4.200m per phase campaign, outreach and annual publication costs = RM7.000m per phase. Design follows the JPA-stated cause: the constraint is application volume, not selection outcomes."
CL-039,PRG-13,Public Service Application Pipeline Programme,P4 Institutional Participation,Public Service Department (JPA),operating_expenditure,2026,expanded,8.260,8.260,8.260,24.780,8.673,2.478,13.629,Outreach and preparation model: campaigns + preparation programmes + annual data publication,ASM-C13,Provisional,,"existing 0.35 = JPA and SPA recruitment administration already funded; reallocated 0.10 = MITRA human-capital grants; new 0.55 = outreach campaigns, preparation programmes and publication. ASSUMPTION (VAL-21).",24000,candidate,individual,1-2-3,"RM350 per candidate through preparation programmes for approximately 8,000 candidates per phase = RM2.800m, plus RM4.200m per phase campaign, outreach and annual publication costs = RM7.000m per phase. Design follows the JPA-stated cause: the constraint is application volume, not selection outcomes."
CL-040,PRG-14,Public Service Professional Advancement,P4 Institutional Participation,Public Service Department (JPA),operating_expenditure,2026,conservative,0.000,3.500,3.500,7.000,4.200,0.350,2.450,Development-access and monitoring model,ASM-C14,Provisional,,existing 0.60 = INTAN and JPA development programmes already funded and already open to these officers; reallocated 0.05 = MITRA grants; new 0.35 = outreach and the grade-band publication. ASSUMPTION (VAL-22).,,officer,individual,2-3,"Almost entirely a transparency and access measure delivered through existing capacity. Requires publication of grade-band composition, which does not currently exist."
CL-041,PRG-14,Public Service Professional Advancement,P4 Institutional Participation,Public Service Department (JPA),operating_expenditure,2026,central,0.000,4.000,4.000,8.000,4.800,0.400,2.800,Development-access and monitoring model,ASM-C14,Provisional,,existing 0.60 = INTAN and JPA development programmes already funded and already open to these officers; reallocated 0.05 = MITRA grants; new 0.35 = outreach and the grade-band publication. ASSUMPTION (VAL-22).,,officer,individual,2-3,"Almost entirely a transparency and access measure delivered through existing capacity. Requires publication of grade-band composition, which does not currently exist."
CL-042,PRG-14,Public Service Professional Advancement,P4 Institutional Participation,Public Service Department (JPA),operating_expenditure,2026,expanded,0.000,4.600,4.600,9.200,5.520,0.460,3.220,Development-access and monitoring model,ASM-C14,Provisional,,existing 0.60 = INTAN and JPA development programmes already funded and already open to these officers; reallocated 0.05 = MITRA grants; new 0.35 = outreach and the grade-band publication. ASSUMPTION (VAL-22).,,officer,individual,2-3,"Almost entirely a transparency and access measure delivered through existing capacity. Requires publication of grade-band composition, which does not currently exist."
CL-043,PRG-15,Task Force and Delivery Secretariat,X Delivery,Prime Minister's Department,administration,2026,conservative,10.823,10.823,10.823,32.469,3.247,14.611,14.611,Establishment model: secretariat headcount x loaded cost + operating costs,ASM-C15,Benchmarked,SRC-018,existing 0.10 = existing coordination capacity in the Prime Minister's Department; reallocated 0.45 = MITRA administrative budget; new 0.45 = the incremental 35-post secretariat. GATING on VAL-23 (establishment approval).,,n/a,none,1-2-3,35 x 110k = RM3.85m per year + RM2m operating = RM5.85m per year = RM11.7m per two-year phase. Benchmarked to comparable delivery units in the Prime Minister's Department.
CL-044,PRG-15,Task Force and Delivery Secretariat,X Delivery,Prime Minister's Department,administration,2026,central,11.700,11.700,11.700,35.100,3.510,15.795,15.795,Establishment model: secretariat headcount x loaded cost + operating costs,ASM-C15,Benchmarked,SRC-018,existing 0.10 = existing coordination capacity in the Prime Minister's Department; reallocated 0.45 = MITRA administrative budget; new 0.45 = the incremental 35-post secretariat. GATING on VAL-23 (establishment approval).,,n/a,none,1-2-3,35 x 110k = RM3.85m per year + RM2m operating = RM5.85m per year = RM11.7m per two-year phase. Benchmarked to comparable delivery units in the Prime Minister's Department.
CL-045,PRG-15,Task Force and Delivery Secretariat,X Delivery,Prime Minister's Department,administration,2026,expanded,12.753,12.753,12.753,38.259,3.826,17.217,17.216,Establishment model: secretariat headcount x loaded cost + operating costs,ASM-C15,Benchmarked,SRC-018,existing 0.10 = existing coordination capacity in the Prime Minister's Department; reallocated 0.45 = MITRA administrative budget; new 0.45 = the incremental 35-post secretariat. GATING on VAL-23 (establishment approval).,,n/a,none,1-2-3,35 x 110k = RM3.85m per year + RM2m operating = RM5.85m per year = RM11.7m per two-year phase. Benchmarked to comparable delivery units in the Prime Minister's Department.
CL-046,PRG-16,"Data, Evaluation and Public Reporting",X Delivery,Prime Minister's Department,monitoring_evaluation,2026,conservative,16.200,6.300,7.200,29.700,2.970,7.425,19.305,Evaluation model: baseline survey + dashboard + DPIA + independent evaluations + annual audit and reporting,ASM-C16,Provisional,,"existing 0.10 = National Audit Department capacity already funded; reallocated 0.25 = MITRA monitoring budget; new 0.65 = baseline survey, dashboard, DPIA and independent evaluations. ASSUMPTION pending DOSM agreement (VAL-24).",,n/a,none,1-2-3,Phase 1: baseline survey RM6.000m + dashboard RM8.000m + DPIA RM1.000m + annual audit/reporting RM1.500m x 2 = RM18.000m. Phase 2: mid-term evaluation RM4.000m + audit/reporting RM3.000m = RM7.000m. Phase 3: final evaluation RM5.000m + audit/reporting RM3.000m = RM8.000m. Total RM33.000m = 2.10% of 
CL-047,PRG-16,"Data, Evaluation and Public Reporting",X Delivery,Prime Minister's Department,monitoring_evaluation,2026,central,18.000,7.000,8.000,33.000,3.300,8.250,21.450,Evaluation model: baseline survey + dashboard + DPIA + independent evaluations + annual audit and reporting,ASM-C16,Provisional,,"existing 0.10 = National Audit Department capacity already funded; reallocated 0.25 = MITRA monitoring budget; new 0.65 = baseline survey, dashboard, DPIA and independent evaluations. ASSUMPTION pending DOSM agreement (VAL-24).",,n/a,none,1-2-3,Phase 1: baseline survey RM6.000m + dashboard RM8.000m + DPIA RM1.000m + annual audit/reporting RM1.500m x 2 = RM18.000m. Phase 2: mid-term evaluation RM4.000m + audit/reporting RM3.000m = RM7.000m. Phase 3: final evaluation RM5.000m + audit/reporting RM3.000m = RM8.000m. Total RM33.000m = 2.10% of 
CL-048,PRG-16,"Data, Evaluation and Public Reporting",X Delivery,Prime Minister's Department,monitoring_evaluation,2026,expanded,20.160,7.840,8.960,36.960,3.696,9.240,24.024,Evaluation model: baseline survey + dashboard + DPIA + independent evaluations + annual audit and reporting,ASM-C16,Provisional,,"existing 0.10 = National Audit Department capacity already funded; reallocated 0.25 = MITRA monitoring budget; new 0.65 = baseline survey, dashboard, DPIA and independent evaluations. ASSUMPTION pending DOSM agreement (VAL-24).",,n/a,none,1-2-3,Phase 1: baseline survey RM6.000m + dashboard RM8.000m + DPIA RM1.000m + annual audit/reporting RM1.500m x 2 = RM18.000m. Phase 2: mid-term evaluation RM4.000m + audit/reporting RM3.000m = RM7.000m. Phase 3: final evaluation RM5.000m + audit/reporting RM3.000m = RM8.000m. Total RM33.000m = 2.10% of 
CL-049,PRG-XX-ADMIN,Portfolio administration overhead,X Delivery,All lead ministries,administration,2026,conservative,10.138,14.524,16.786,41.448,0.000,10.362,31.086,4.0% of programme delivery cost (ASM-040),ASM-040,Provisional,,"Applied at portfolio level; funded 25% by reallocation and 75% new, consistent with the weighted average of the programme lines it overheads. ASSUMPTION.",,n/a,none,1-2-3,"Financial administration, procurement and compliance at delivering agencies. Excludes the delivery secretariat, costed at PRG-15."
CL-050,PRG-XX-ADMIN,Portfolio administration overhead,X Delivery,All lead ministries,administration,2026,central,12.710,18.634,21.760,53.104,0.000,13.276,39.828,4.0% of programme delivery cost (ASM-040),ASM-040,Provisional,,"Applied at portfolio level; funded 25% by reallocation and 75% new, consistent with the weighted average of the programme lines it overheads. ASSUMPTION.",,n/a,none,1-2-3,"Financial administration, procurement and compliance at delivering agencies. Excludes the delivery secretariat, costed at PRG-15."
CL-051,PRG-XX-ADMIN,Portfolio administration overhead,X Delivery,All lead ministries,administration,2026,expanded,15.797,23.566,27.729,67.092,0.000,16.773,50.319,4.0% of programme delivery cost (ASM-040),ASM-040,Provisional,,"Applied at portfolio level; funded 25% by reallocation and 75% new, consistent with the weighted average of the programme lines it overheads. ASSUMPTION.",,n/a,none,1-2-3,"Financial administration, procurement and compliance at delivering agencies. Excludes the delivery secretariat, costed at PRG-15."
CL-052,PRG-XX-CONT,Portfolio contingency,X Delivery,Ministry of Finance,contingency,2026,conservative,19.769,28.322,32.733,80.824,0.000,20.206,60.618,7.5% of delivery plus administration (ASM-041),ASM-041,Provisional,,"Applied at portfolio level; funded 25% by reallocation and 75% new, consistent with the weighted average of the programme lines it overheads. ASSUMPTION.",,n/a,none,1-2-3,Set at the lower end of the 5-15% range because the portfolio is weighted towards recurrent service delivery rather than construction.
CL-053,PRG-XX-CONT,Portfolio contingency,X Delivery,Ministry of Finance,contingency,2026,central,24.785,36.336,42.432,103.553,0.000,25.888,77.665,7.5% of delivery plus administration (ASM-041),ASM-041,Provisional,,"Applied at portfolio level; funded 25% by reallocation and 75% new, consistent with the weighted average of the programme lines it overheads. ASSUMPTION.",,n/a,none,1-2-3,Set at the lower end of the 5-15% range because the portfolio is weighted towards recurrent service delivery rather than construction.
CL-054,PRG-XX-CONT,Portfolio contingency,X Delivery,Ministry of Finance,contingency,2026,expanded,30.805,45.953,54.071,130.829,0.000,32.707,98.122,7.5% of delivery plus administration (ASM-041),ASM-041,Provisional,,"Applied at portfolio level; funded 25% by reallocation and 75% new, consistent with the weighted average of the programme lines it overheads. ASSUMPTION.",,n/a,none,1-2-3,Set at the lower end of the 5-15% range because the portfolio is weighted towards recurrent service delivery rather than construction.
